#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR30543090	SRR30543092	SRR30543093	SRR30543094	SRR30543095	SRR30543096	SRR30543097	SRR30543098	SRR30543099	SRR30543100	SRR30543101	SRR30543103	SRR30543104	SRR30543105	SRR30543106	SRR30543107	SRR30543108	SRR30543109	SRR30543110	SRR30543111	SRR30543112	SRR30543114	SRR30543115	SRR30543116	SRR30543117	SRR30543118
UNCLASSIFIED	54.03411	61.852525	45.752427	31.489039	48.839555	23.376769	41.931868	48.634353	45.518848	40.700906	52.674214	83.277906	46.297016	27.255223	93.3418726	26.939316	90.1880946	36.291124	37.659718	34.159864	68.237452	54.014016	59.634122	48.245872	13.976981	56.004573
k__Bacteria	45.96589	38.147475	54.247573	68.505288	51.160445	76.623231	58.068132	51.365647	54.481152	59.299094	47.325786	16.722094	53.702984	72.744777	6.6581274	73.060684	9.8119054	63.708876	62.340282	65.840136	31.762548	42.037931	40.261086	51.754128	86.023019	43.995427
k__Bacteria|p__Actinomycetota	30.45366	38.113808	0.0	0.0	0.0	67.396538	0.0	0.0	53.011885	0.131387	0.0	1.618798	0.126416	0.019937	5.7416925	0.0	0.0	0.0	0.0	0.0	1.130592	0.0	0.0	0.0	63.371316	41.464816
k__Bacteria|p__Firmicutes	7.746972	0.0	54.247573	68.501556	51.160445	9.138372	58.068132	51.365647	0.630834	58.632713	47.325786	12.152669	45.952798	71.495159	0.3875642	73.060684	9.6521033	63.708876	62.340282	65.838909	29.49315	42.037931	40.261086	51.62723	21.606735	0.623559
k__Bacteria|p__Bacteroidota	6.70969	0.0	0.0	0.003732	0.0	0.0	0.0	0.0	0.838434	0.534993	0.0	2.950627	5.683184	1.229681	0.5288706	0.0	0.0	0.0	0.0	0.0	1.138807	0.0	0.0	0.0	1.043779	1.907052
k__Bacteria|p__Mycoplasmatota	1.042417	0.033666	0.0	0.0	0.0	0.088321	0.0	0.0	0.0	0.0	0.0	0.0	0.185238	0.0	0.0	0.0	0.1598021	0.0	0.0	0.001227	0.0	0.0	0.0	0.0	0.001188	0.0
k__Bacteria|p__Campylobacterota	0.013152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes	22.804848	20.999672	0.0	0.0	0.0	67.396538	0.0	0.0	53.011885	0.131387	0.0	1.618798	0.001413	0.019937	5.7416925	0.0	0.0	0.0	0.0	0.0	1.130592	0.0	0.0	0.0	61.172462	41.464816
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	7.648812	17.114136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.198854	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	6.70969	0.0	0.0	0.003732	0.0	0.0	0.0	0.0	0.838434	0.534993	0.0	2.950627	5.683184	1.229681	0.5288706	0.0	0.0	0.0	0.0	0.0	1.138807	0.0	0.0	0.0	1.043779	1.907052
k__Bacteria|p__Firmicutes|c__Tissierellia	3.905098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012204	2.389878	0.014316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.463989
k__Bacteria|p__Firmicutes|c__Bacilli	3.175571	0.0	54.247573	68.501556	51.160445	9.138372	58.068132	51.365647	0.491275	58.632713	47.325786	12.140465	41.989035	70.871644	0.3875642	73.060684	9.6521033	63.708876	62.340282	65.838909	29.465591	42.037931	40.261086	51.62723	7.678029	0.074771
k__Bacteria|p__Mycoplasmatota|c__Mycoplasmatota_unclassified	1.042417	0.033666	0.0	0.0	0.0	0.088321	0.0	0.0	0.0	0.0	0.0	0.0	0.185238	0.0	0.0	0.0	0.1598021	0.0	0.0	0.001227	0.0	0.0	0.0	0.0	0.001188	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	0.36592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.503706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027558	0.0	0.0	0.0	0.174195	0.084799
k__Bacteria|p__Firmicutes|c__Negativicutes	0.300382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139558	0.0	0.0	0.0	0.069162	0.609199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.376929	0.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria	0.013152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	17.043525	20.999672	0.0	0.0	0.0	67.396538	0.0	0.0	53.011885	0.0	0.0	0.08303	0.0	0.019937	5.7416925	0.0	0.0	0.0	0.0	0.0	1.130592	0.0	0.0	0.0	61.172462	41.005226
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	7.648812	17.114136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.198854	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	6.70969	0.0	0.0	0.003732	0.0	0.0	0.0	0.0	0.838434	0.534993	0.0	2.950627	5.683184	1.229681	0.5288706	0.0	0.0	0.0	0.0	0.0	1.138807	0.0	0.0	0.0	1.043779	1.907052
